"pathway_id","pathway_name","p_value_adjust","mapped_id"
"hsa00140","Steroid hormone biosynthesis",8.859548386391e-33,"C05490;C03205;C03747;C18075;C05473;C05475;C05284;C05498;C05504;C05140;C05139;C05300;C04518;C01124;C05290;C05294;C05295;C05301;C05298;C05302;C08359;C04042;C05497;C05477;C05485;C05474;C05483;C05478;C00674;C18040;C18041;C03681;C18042;C03772;C05293;C05479;C03935;C05296;C18045;C05291;C01780;C18039;C13712;C13713;C04295;C00280;C00523;C11135;C02140;C01227;C04555;C00951;C05503;C08357;C05141;C05484;C05480;C00410;C00535;C11134;C05476"
"hsa00310","Lysine degradation",1.21017159692282e-05,"C05161;C01259;C00450;C03196;C00322;C01149;C01181;C03087;C00990;C05548;C00164;C00487;C00739;C04020;C04092;C00956;C00047;C03793;C00449;C00042"
"hsa00470","D-Amino acid metabolism",2.38335645448293e-05,"C05161;C03771;C00792;C00793;C00217;C00819;C00739;C02265;C00763;C00820;C00062;C00097;C00025;C00064;C00135;C00047;C00079;C00148;C00188;C00666;C05620;C00166;C05942"
"hsa00040","Pentose and glucuronate interconversions",0.000102290158522173,"C03826;C00618;C00216;C01904;C00476;C00309;C00502;C02753;C02266;C00181;C00310;C00116;C00266;C00259;C00532;C01508;C00508;C00312;C00474;C00379"
"hsa04974","Protein digestion and absorption",0.00113860675392846,"C01468;C00033;C00062;C00097;C00025;C00064;C00135;C00407;C00123;C00047;C00079;C00148;C00188;C00078;C00082;C00163"
"hsa02010","ABC transporters",0.00314728975848205,"C01181;C00487;C01674;C00114;C00919;C00095;C00031;C00159;C04137;C00121;C00181;C00051;C00116;C00259;C00062;C00025;C00064;C00135;C00407;C00123;C00047;C00079;C00148;C00188;C01835;C00140;C01682;C00492;C01762;C00379;C01630"
"hsa05230","Central carbon metabolism in cancer",0.00339937290020948,"C00031;C00062;C00097;C00025;C00064;C00135;C00407;C00123;C00079;C00148;C00078;C00082;C00042"
"hsa00360","Phenylalanine metabolism",0.00438130327704667,"C02765;C02763;C04044;C02265;C01586;C00079;C00082;C03519;C00601;C07086;C04148;C05629;C00166;C00042;C02137;C01772;C12621"
"hsa04917","Prolactin signaling pathway",0.0151768960712584,"C00355;C00280;C00031;C00951;C00082;C00410"
"hsa04913","Ovarian steroidogenesis",0.0174318879056911,"C14770;C05301;C14209;C04295;C00280;C01227;C00951;C00410;C00535"
